id,band,year,site,country,elevation,species,sp,clade,color,sex,mass,wing.area,AR,wingload.gcm,total_vel,hor_acel,hor_decel,pitch_up,pitch_down,yaw,arc_radius,arc_avg_vel,arc_force,PRT_degrees,PRT_time,pPRT,ss.V,ss.HA,ss.HD,ss.PU,ss.PD,ss.Y,ss.ARC,ss.PRT
EUGFU014,A33398,2012,Cerro,Costa Rica,3100,Eugenes.fulgens,EUGFU,GEM,#CCAC00,M,10.5,3571.712,7.116,0.29397667,1.687197983,5.512293053,-6.464412405,1.683701854,-1.249310827,1.927462987,0.652948857,1.618890818,4.332729228,82.17766167,0.463333333,0.769230769,188,111,96,292,404,110,9,30
EUGFU015,A33399,2012,Cerro,Costa Rica,3100,Eugenes.fulgens,EUGFU,GEM,#CCAC00,M,10,3832.516,7.3565,0.260925199,1.886219909,4.999843076,-6.356502238,1.261582899,-1.017190213,1.854727983,0.555909707,1.521134731,4.712278357,94.18105931,0.527826087,0.821428571,460,156,163,169,228,74,15,69
EUGFU016,A33400,2012,Cerro,Costa Rica,3100,Eugenes.fulgens,EUGFU,GEM,#CCAC00,M,10,4242.1995,7.905,0.235726773,1.720803082,4.253762208,-6.126540737,1.243075379,-1.010810767,1.787770604,0.375282761,1.103238591,3.861413141,87.92034738,0.530789474,0.775510204,364,119,101,139,210,81,11,38
FLOME001,NA,2012,LaSelva,Costa Rica,60,Florisuga.mellivora,FLOME,TOPAZ,#2F4F4F,M,6.7,3047.7265,7.067,0.219835999,1.777990445,5.85302458,-5.938408732,1.31290769,-1.169892441,1.776790224,0.462119916,1.41190062,5.234708013,109.9699971,0.441781609,0.710204082,682,423,471,228,482,128,71,174
GLAAN001,A33429,2012,LaSelva,Costa Rica,60,Glaucis.aenea,GLAAN,HERMIT,#FF0000,U,5.6,2199.058,6.7335,0.254654493,2.062971656,4.583495045,-5.386148623,1.098602949,-0.900029868,1.612626623,0.596797316,1.565469193,4.421221551,52.53620709,0.531666667,0.8,123,83,116,97,154,104,6,24
GLAAN002,A33430,2012,LaSelva,Costa Rica,60,Glaucis.aenea,GLAAN,HERMIT,#FF0000,U,6.7,2259.0975,6.247,0.296578612,1.544371117,3.245125103,-3.653033184,0.924498404,-0.755051735,1.342765417,0.183746553,0.861858891,4.971647243,112.7556891,0.524078947,0.304,405,376,411,20,26,166,87,38
GLAAN003,A33467,2012,LaSelva,Costa Rica,60,Glaucis.aenea,GLAAN,HERMIT,#FF0000,U,6,1785.648,6.8725,0.336012473,2.071510342,5.261628119,-4.429128359,0.944615641,-0.991515294,1.389501333,0.503792691,1.426440519,5.443807436,125.9024057,0.474642857,0.565656566,260,95,122,29,81,31,43,56
GLAAN004,A33466,2012,LaSelva,Costa Rica,60,Glaucis.aenea,GLAAN,HERMIT,#FF0000,U,NA,1880.801,6.8225,NA,1.666737222,3.442089353,-3.841390737,1.008793924,-0.978050799,1.542439445,0.454865671,1.280506938,4.302097736,83.50425477,0.46890625,0.380952381,179,151,173,25,45,62,52,32
GLAAN005,A33470,2012,LaSelva,Costa Rica,60,Glaucis.aenea,GLAAN,HERMIT,#FF0000,U,6.2,2246.3565,6.2425,0.276002496,1.762404415,3.84126746,-3.746722185,1.178819862,-0.884574546,1.723765787,0.360248669,1.145095644,4.813411621,130.4528073,0.420817308,0.527918782,370,209,221,15,64,40,93,104
GLAHI001,A33236,2010,Cicra,Peru,280,Glaucis.hirsuta,GLAHI,HERMIT,#FF0000,U,4.9,1924.967,6.3715,0.254549818,2.359100744,8.0234376,-8.269199205,1.273033561,-0.953786914,2.440723029,NA,NA,NA,115.2936745,0.422,1,36,31,28,8,15,7,0,5
GLAHI002,A33235,2010,Cicra,Peru,280,Glaucis.hirsuta,GLAHI,HERMIT,#FF0000,U,7.12,2356.5255,7.1,0.302139739,1.597098816,5.411748642,-5.436915183,1.192006962,-1.15058021,1.907698249,0.401070087,1.317534309,4.909589353,145.9578338,0.368636364,0.557377049,330,204,201,77,121,120,27,34
GLAHI004,A33218,2010,Cicra,Peru,280,Glaucis.hirsuta,GLAHI,HERMIT,#FF0000,U,7.03,2422.5685,6.903,0.290187873,1.52180623,5.726998844,-5.369028075,1.267900067,-1.192065802,2.277430114,0.254784176,1.067423542,5.07801062,145.2855441,0.401714286,0.813953488,301,130,119,74,122,46,8,35
GLAHI005,A33239,2010,Cicra,Peru,280,Glaucis.hirsuta,GLAHI,HERMIT,#FF0000,U,5.91,2259.2845,6.883,0.261587241,1.968719423,7.383900796,-6.733754548,1.414455575,-1.328142023,2.157270426,0.341389983,1.076506299,3.406818896,100.0286021,0.423333333,0.9375,179,166,187,94,170,88,3,45
