id,genus,species,COLL,Site,elev,Sex,mass,wing.length,wing.area,AR,lifted.beads,maneuv.id
Glaucis.aenea_A33056,Glaucis,Glaucis.aenea,DLA,La Selva,39.99999997,Unknown,5.708000178,5.47599983,17.72284454,6.767891926,8.368550007,NA
Glaucis.aenea_A33117,Glaucis,Glaucis.aenea,DLA,Las Cruces,1200,Male,6.15,6.215,21.3113,7.25,7.49,NA
Glaucis.hirsuta_A32421,Glaucis,Glaucis.hirsuta,DLA,Pantiacolla,399.9999997,Male,7.300000183,6.708999631,25.32356029,7.109691623,15.0109997,NA
Glaucis.hirsuta_A32423,Glaucis,Glaucis.hirsuta,DLA,Pantiacolla,399.9999997,Male,7.599999908,6.711000065,25.79536165,6.983817067,13.24499988,NA
Glaucis.hirsuta_A32424,Glaucis,Glaucis.hirsuta,DLA,Pantiacolla,399.9999997,Male,7.449999816,6.56500016,26.79118239,6.434837603,17.65999985,NA
Glaucis.hirsuta_A32427,Glaucis,Glaucis.hirsuta,DLA,Pantiacolla,399.9999997,Male,7.800000185,6.195000075,22.83139212,6.723729451,14.12800024,NA
Glaucis.hirsuta_A32658,Glaucis,Glaucis.hirsuta,DLA,Amazonia,499.9999996,Male,7.48000002,7.459999854,31.0941169,7.159116043,17.0300007,NA
Glaucis.hirsuta_A32714,Glaucis,Glaucis.hirsuta,DLA,Amazonia,499.9999996,Female,6.489999764,6.159000013,24.65707828,6.153734969,9.963000323,NA
Glaucis.hirsuta_A32724,Glaucis,Glaucis.hirsuta,DLA,Amazonia,499.9999996,Male,7.519999972,6.966999815,28.22009627,6.880073835,15.26099971,NA
Glaucis.hirsuta_A32730,Glaucis,Glaucis.hirsuta,DLA,Amazonia,499.9999996,Female,6.110000137,6.211000068,24.42852382,6.316635751,11.72999953,NA
Heliodoxa.aurescens_A32706,Heliodoxa,Heliodoxa.aurescens,DLA,Amazonia,499.9999996,Male,6.309999938,6.533999637,23.54444432,7.253201756,17.90999985,NA
Heliodoxa.aurescens_A32874,Heliodoxa,Heliodoxa.aurescens,DLA,Amazonia,499.9999996,Male,6.090000159,6.969999693,24.47201127,7.940646196,17.02700043,NA
Lesbia.victoriae_A33403,Lesbia,Lesbia.victoriae,PSS,Ecu,3523,Male,5.68,6.1426,21.8683,6.906,7.24,LESVI001
Lesbia.victoriae_A33410,Lesbia,Lesbia.victoriae,PSS,Ecu,3523,Male,5.63,6.8559,26.88913,6.995,7.68,LESVI002
Lesbia.victoriae_USER46,Lesbia,Lesbia.victoriae,PSS,Ecu,3523,Male,5.15,6.537,22.73272,7.52,5.92,LESVI011
Lesbia.victoriae_USER47,Lesbia,Lesbia.victoriae,PSS,Ecu,3523,Male,5.27,6.3102,22.74724,7.009,9,LESVI012
Lesbia.victoriae_Y76041,Lesbia,Lesbia.victoriae,PSS,Ecu,3523,Male,5.53,6.6869,24.39572,7.339,6.8,LESVI003
Lesbia.victoriae_Y76042,Lesbia,Lesbia.victoriae,PSS,Ecu,3523,Male,5.45,6.6297,23.83478,7.389,9,LESVI006
Lesbia.victoriae_Y76043,Lesbia,Lesbia.victoriae,PSS,Ecu,3523,Male,5.26,6.766,24.92684,7.349,7.24,LESVI005
Lesbia.victoriae_Y76048,Lesbia,Lesbia.victoriae,PSS,Ecu,3523,Male,5.26,6.4096,22.39825,7.337,7.68,LESVI007
Lesbia.victoriae_Y76049,Lesbia,Lesbia.victoriae,PSS,Ecu,3523,Male,5.31,6.3396,22.21162,7.241,6.05,LESVI008
Lesbia.victoriae_Y76053,Lesbia,Lesbia.victoriae,PSS,Ecu,3523,Male,5.4,5.8706,20.95233,6.581,7.24,LESVI009
Lesbia.victoriae_Y76054,Lesbia,Lesbia.victoriae,PSS,Ecu,3523,Male,5.25,5.8515,20.14031,6.885,3.72,LESVI010
Metallura.tyrianthina_A32585,Metallura,Metallura.tyrianthina,DLA,Canchayoc,3649.999996,Female,3.349999907,5.611999892,19.41474407,6.488788654,7.03999996,NA
Metallura.tyrianthina_A32586,Metallura,Metallura.tyrianthina,DLA,Canchayoc,3649.999996,Male,3.630000117,5.566999817,19.90531176,6.227782273,7.480000013,NA
Metallura.tyrianthina_A32588,Metallura,Metallura.tyrianthina,DLA,Canchayoc,3650,Female,3.6,5.465,17.67361,6.76,5.28,NA
Metallura.tyrianthina_A32589,Metallura,Metallura.tyrianthina,DLA,Canchayoc,3649.999996,Female,4.849999904,5.045999905,16.64237946,6.119825628,6.159999843,NA
