birdID,treatmentID,bird.treatment.block,walls.stripe.size,left.grating.orientation,H.grating.period,V.grating.period,replicate,to.from.feeder,avg.y.position,avg.x.velocity,top.black.red
196,0_1.15_1_1.15_0_0,196_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,4,to,-0.045315422,2.587367075,NA
196,0_1.15_1_1.15_0_0,196_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,3,to,-0.100865872,1.685070286,NA
196,0_1.15_1_1.15_0_0,196_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,5,from,-0.028274769,1.595665731,NA
196,0_1.15_1_9.2_0_0,196_0_1.15_1_9.2_0_0,H 1.15 cm V 9.2 cm,hor,2.3,18.4,1,from,-0.148113645,2.106952049,NA
196,0_1.15_1_9.2_0_0,196_0_1.15_1_9.2_0_0,H 1.15 cm V 9.2 cm,hor,2.3,18.4,1,to,-0.091324145,2.555971038,NA
196,0_1.15_1_9.2_0_0,196_0_1.15_1_9.2_0_0,H 1.15 cm V 9.2 cm,hor,2.3,18.4,2,from,-0.01749967,1.903054018,NA
196,0_1.15_1_9.2_0_0,196_0_1.15_1_9.2_0_0,H 1.15 cm V 9.2 cm,hor,2.3,18.4,2,to,-0.094383195,2.178844385,NA
196,0_1.15_1_9.2_0_0,196_0_1.15_1_9.2_0_0,H 1.15 cm V 9.2 cm,hor,2.3,18.4,4,to,-0.083961975,2.50994505,NA
196,0_1.15_1_9.2_0_0,196_0_1.15_1_9.2_0_0,H 1.15 cm V 9.2 cm,hor,2.3,18.4,3,from,0.003386538,1.821376489,NA
196,0_1.15_1_9.2_0_0,196_0_1.15_1_9.2_0_0,H 1.15 cm V 9.2 cm,hor,2.3,18.4,5,from,-0.048390732,1.713653229,NA
196,0_1.15_1_9.2_0_0,196_0_1.15_1_9.2_0_0,H 1.15 cm V 9.2 cm,hor,2.3,18.4,3,to,-0.12246809,2.177181624,NA
196,0_1.15_1_9.2_0_0,196_0_1.15_1_9.2_0_0,H 1.15 cm V 9.2 cm,hor,2.3,18.4,4,from,-0.002687221,1.967535254,NA
196,0_1.15_1_9.2_0_0,196_0_1.15_1_9.2_0_0,H 1.15 cm V 9.2 cm,hor,2.3,18.4,5,to,-0.100193708,1.962014654,NA
196,0_9.2_1_1.15_0_0,196_0_9.2_1_1.15_0_0,H 9.2 cm V 1.15 cm,hor,18.4,2.3,4,from,0.068681048,2.212101425,red
196,0_9.2_1_1.15_0_0,196_0_9.2_1_1.15_0_0,H 9.2 cm V 1.15 cm,hor,18.4,2.3,5,to,0.019160156,1.247078386,red
