birdID,treatmentID,bird.treatment.block,left.grating.orientation,L.grating.period,R.grating.period,side.small.period,replicate,to.from.feeder,avg.y.position,avg.x.velocity
196,0_9.2_0_1.15_0_0,196_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,2,from,0.058226563,2.590184738
197,0_9.2_0_1.15_0_0,197_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,2,from,0.070343576,2.018540521
198,0_9.2_0_1.15_0_0,198_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,2,from,0.048244728,1.822316106
199,0_9.2_0_1.15_0_0,199_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,2,from,0.018557806,1.653443721
201,0_9.2_0_1.15_0_0,201_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,2,from,0.015380259,1.890398714
195,1_1.15_1_9.2_0_0,195_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,2,from,-0.049652247,2.743761335
196,1_1.15_1_9.2_0_0,196_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,2,from,0.03257132,1.542397039
197,1_1.15_1_9.2_0_0,197_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,2,from,-0.017524211,1.211705513
198,1_1.15_1_9.2_0_0,198_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,2,from,0.067796832,1.523069671
199,1_1.15_1_9.2_0_0,199_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,2,from,-0.023811398,1.673128726
201,1_1.15_1_9.2_0_0,201_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,2,from,0.017200172,1.734846163
195,1_9.2_1_1.15_0_0,195_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,2,from,0.081495863,2.17140771
196,1_9.2_1_1.15_0_0,196_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,2,from,0.109192567,1.65701798
197,1_9.2_1_1.15_0_0,197_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,2,from,0.081124131,1.469589536
198,1_9.2_1_1.15_0_0,198_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,2,from,0.036148368,1.630987917
199,1_9.2_1_1.15_0_0,199_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,2,from,0.124942757,1.278553434
201,1_9.2_1_1.15_0_0,201_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,2,from,0.040236249,2.14745672
195,0_1.15_0_9.2_0_0,195_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,2,to,-0.100287213,1.564460199
196,0_1.15_0_9.2_0_0,196_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,2,to,-0.027963069,2.313374352
197,0_1.15_0_9.2_0_0,197_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,2,to,-0.01182678,2.639411377
198,0_1.15_0_9.2_0_0,198_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,2,to,-0.113678555,1.940692859
199,0_1.15_0_9.2_0_0,199_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,2,to,-0.033602534,2.6225021
201,0_1.15_0_9.2_0_0,201_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,2,to,-0.087111906,1.851616498
195,0_9.2_0_1.15_0_0,195_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,2,to,0.034010606,2.710163657
196,0_9.2_0_1.15_0_0,196_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,2,to,0.039306883,1.994777705
197,0_9.2_0_1.15_0_0,197_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,2,to,0.023669451,2.036968409
198,0_9.2_0_1.15_0_0,198_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,2,to,0.025776018,1.754759744
199,0_9.2_0_1.15_0_0,199_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,2,to,0.053193743,1.569473708
201,0_9.2_0_1.15_0_0,201_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,2,to,0.032757412,1.547513163
195,1_1.15_1_9.2_0_0,195_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,2,to,-0.044031715,1.981619031
196,1_1.15_1_9.2_0_0,196_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,2,to,-0.03487156,1.926914103
