bird,trialID,videoID,performance.metric,solo.competition,treatment,no.maneuvers,avg.performance,wing.length,wing.area,aspect.ratio,body.mass,mass.lifted,capture.group,capture.day.of.year,trial.day.of.year,days.after
trans_04,trans_04_comp_air,120753,arc_vel,comp,sea level,180,1.95345367,51.368,1377.612,7.666,4.82,7.24,group2,226,300,74
trans_04,trans_04_comp_air,151240,arc_vel,comp,sea level,209,2.108695667,51.368,1377.612,7.666,4.82,7.24,group2,226,296,70
trans_04,trans_04_comp_elev,102513,arc_vel,comp,elev,187,1.486637887,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_comp_elev,165519,arc_vel,comp,elev,112,1.404105784,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_solo_air,153909,arc_vel,solo,sea level,236,2.082245287,51.368,1377.612,7.666,4.82,7.24,group2,226,288,62
trans_04,trans_04_solo_elev,90720,arc_vel,solo,elev,90,1.517606855,51.368,1377.612,7.666,4.82,7.24,group2,226,244,18
trans_05,trans_05_comp_air,151755,arc_vel,comp,sea level,138,1.969622773,49.114,1236.092,7.806,5.58,5.66,group2,226,293,67
trans_05,trans_05_comp_air,164959,arc_vel,comp,sea level,65,1.460961553,49.114,1236.092,7.806,5.58,5.66,group2,226,304,78
trans_05,trans_05_comp_elev,143405,arc_vel,comp,elev,82,1.568486734,49.114,1236.092,7.806,5.58,5.66,group2,226,248,22
trans_05,trans_05_comp_elev,155833,arc_vel,comp,elev,46,1.372645412,49.114,1236.092,7.806,5.58,5.66,group2,226,246,20
trans_05,trans_05_solo_air,180458,arc_vel,solo,sea level,37,2.128712513,49.114,1236.092,7.806,5.58,5.66,group2,226,288,62
trans_05,trans_05_solo_elev,112811,arc_vel,solo,elev,241,1.245760581,49.114,1236.092,7.806,5.58,5.66,group2,226,244,18
trans_06,trans_06_comp_air,111439,arc_vel,comp,sea level,88,2.168437223,49.866,1244.506,7.993,4.58,6.75,group2,226,294,68
trans_06,trans_06_comp_air,150428,arc_vel,comp,sea level,47,2.260122915,49.866,1244.506,7.993,4.58,6.75,group2,226,300,74
trans_06,trans_06_comp_elev,120448,arc_vel,comp,elev,153,1.682836006,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_comp_elev,143405,arc_vel,comp,elev,298,1.727827364,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_solo_air,173802,arc_vel,solo,sea level,22,2.352252709,49.866,1244.506,7.993,4.58,6.75,group2,226,287,61
trans_06,trans_06_solo_elev,140631,arc_vel,solo,elev,248,1.884809928,49.866,1244.506,7.993,4.58,6.75,group2,226,244,18
trans_07,trans_07_comp_air,151240,arc_vel,comp,sea level,179,1.846755127,47.869,1199.698,7.642,4.59,6.3,group2,226,296,70
trans_07,trans_07_comp_air,152503,arc_vel,comp,sea level,111,1.93236781,47.869,1199.698,7.642,4.59,6.3,group2,226,303,77
trans_07,trans_07_comp_elev,115234,arc_vel,comp,elev,183,1.807569624,47.869,1199.698,7.642,4.59,6.3,group2,226,246,20
trans_07,trans_07_comp_elev,124652,arc_vel,comp,elev,486,1.638104835,47.869,1199.698,7.642,4.59,6.3,group2,226,247,21
trans_07,trans_07_solo_air,145709,arc_vel,solo,sea level,50,1.569108756,47.869,1199.698,7.642,4.59,6.3,group2,226,287,61
trans_07,trans_07_solo_elev,164438,arc_vel,solo,elev,174,1.443603776,47.869,1199.698,7.642,4.59,6.3,group2,226,244,18
trans_08,trans_08_comp_air,150428,arc_vel,comp,sea level,17,1.92516162,46.803,1131.214,7.749,5.61,6,group2,226,300,74
trans_08,trans_08_comp_air,155232,arc_vel,comp,sea level,40,1.774830885,46.803,1131.214,7.749,5.61,6,group2,226,299,73
trans_08,trans_08_comp_elev,102513,arc_vel,comp,elev,467,1.521560604,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_comp_elev,124652,arc_vel,comp,elev,68,1.529799466,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_solo_air,120815,arc_vel,solo,sea level,403,2.348685184,46.803,1131.214,7.749,5.61,6,group2,226,287,61
trans_08,trans_08_solo_elev,92048,arc_vel,solo,elev,98,1.690421463,46.803,1131.214,7.749,5.61,6,group2,226,245,19
trans_01,trans_01_comp_air,151755,hor_accel,comp,sea level,796,6.918310825,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_comp_air,152503,hor_accel,comp,sea level,454,7.851499363,49.026,1270.923,7.585,4.4,6.05,group1,160,303,143
trans_01,trans_01_comp_elev,120448,hor_accel,comp,elev,239,3.420915546,49.026,1270.923,7.585,4.4,6.05,group1,160,248,88
trans_01,trans_01_comp_elev,165913,hor_accel,comp,elev,182,3.301523718,49.026,1270.923,7.585,4.4,6.05,group1,160,249,89
trans_01,trans_01_solo_air,111843,hor_accel,solo,sea level,1313,7.581220062,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_solo_elev,111629,hor_accel,solo,elev,91,4.105172717,49.026,1270.923,7.585,4.4,6.05,group1,160,239,79
trans_02,trans_02_comp_air,111439,hor_accel,comp,sea level,893,5.939729009,49.914,1306.451,7.634,4.48,5.66,group1,168,294,126
trans_02,trans_02_comp_air,164959,hor_accel,comp,sea level,1073,6.007210866,49.914,1306.451,7.634,4.48,5.66,group1,168,304,136
trans_02,trans_02_comp_elev,115234,hor_accel,comp,elev,298,5.259633306,49.914,1306.451,7.634,4.48,5.66,group1,168,246,78
trans_02,trans_02_comp_elev,165519,hor_accel,comp,elev,112,3.781189997,49.914,1306.451,7.634,4.48,5.66,group1,168,247,79
trans_02,trans_02_solo_air,173855,hor_accel,solo,sea level,422,5.820126015,49.914,1306.451,7.634,4.48,5.66,group1,168,292,124
trans_02,trans_02_solo_elev,135846,hor_accel,solo,elev,170,4.474983846,49.914,1306.451,7.634,4.48,5.66,group1,168,239,71
trans_03,trans_03_comp_air,120753,hor_accel,comp,sea level,860,6.701496466,45.76,1051.272,7.977,4.09,6.44,group1,168,300,132
trans_03,trans_03_comp_air,155232,hor_accel,comp,sea level,575,5.801162757,45.76,1051.272,7.977,4.09,6.44,group1,168,299,131
trans_03,trans_03_comp_elev,155833,hor_accel,comp,elev,200,5.509617577,45.76,1051.272,7.977,4.09,6.44,group1,168,246,78
trans_03,trans_03_comp_elev,165913,hor_accel,comp,elev,651,4.841509062,45.76,1051.272,7.977,4.09,6.44,group1,168,249,81
trans_03,trans_03_solo_air,165106,hor_accel,solo,sea level,1418,7.187779225,45.76,1051.272,7.977,4.09,6.44,group1,168,298,130
trans_03,trans_03_solo_elev,162206,hor_accel,solo,elev,545,5.314032042,45.76,1051.272,7.977,4.09,6.44,group1,168,239,71
trans_04,trans_04_comp_air,120753,hor_accel,comp,sea level,820,8.32190232,51.368,1377.612,7.666,4.82,7.24,group2,226,300,74
trans_04,trans_04_comp_air,151240,hor_accel,comp,sea level,840,7.532586277,51.368,1377.612,7.666,4.82,7.24,group2,226,296,70
trans_04,trans_04_comp_elev,102513,hor_accel,comp,elev,788,5.359063931,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_comp_elev,165519,hor_accel,comp,elev,352,5.542868878,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_solo_air,153909,hor_accel,solo,sea level,1350,7.852195265,51.368,1377.612,7.666,4.82,7.24,group2,226,288,62
trans_04,trans_04_solo_elev,90720,hor_accel,solo,elev,1683,9.211537353,51.368,1377.612,7.666,4.82,7.24,group2,226,244,18
trans_05,trans_05_comp_air,151755,hor_accel,comp,sea level,1200,7.816501355,49.114,1236.092,7.806,5.58,5.66,group2,226,293,67
trans_05,trans_05_comp_air,164959,hor_accel,comp,sea level,482,7.119299396,49.114,1236.092,7.806,5.58,5.66,group2,226,304,78
trans_05,trans_05_comp_elev,143405,hor_accel,comp,elev,348,6.316194672,49.114,1236.092,7.806,5.58,5.66,group2,226,248,22
trans_05,trans_05_comp_elev,155833,hor_accel,comp,elev,369,4.400101639,49.114,1236.092,7.806,5.58,5.66,group2,226,246,20
trans_05,trans_05_solo_air,180458,hor_accel,solo,sea level,364,9.359758141,49.114,1236.092,7.806,5.58,5.66,group2,226,288,62
trans_05,trans_05_solo_elev,112811,hor_accel,solo,elev,717,7.28662098,49.114,1236.092,7.806,5.58,5.66,group2,226,244,18
trans_06,trans_06_comp_air,111439,hor_accel,comp,sea level,472,8.535760113,49.866,1244.506,7.993,4.58,6.75,group2,226,294,68
trans_06,trans_06_comp_air,150428,hor_accel,comp,sea level,278,9.437739798,49.866,1244.506,7.993,4.58,6.75,group2,226,300,74
trans_06,trans_06_comp_elev,120448,hor_accel,comp,elev,833,6.382638281,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_comp_elev,143405,hor_accel,comp,elev,1090,7.159954689,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_solo_air,173802,hor_accel,solo,sea level,361,8.564571916,49.866,1244.506,7.993,4.58,6.75,group2,226,287,61
trans_06,trans_06_solo_elev,140631,hor_accel,solo,elev,990,7.669091877,49.866,1244.506,7.993,4.58,6.75,group2,226,244,18
trans_07,trans_07_comp_air,151240,hor_accel,comp,sea level,1219,7.761858792,47.869,1199.698,7.642,4.59,6.3,group2,226,296,70
trans_07,trans_07_comp_air,152503,hor_accel,comp,sea level,653,8.41541631,47.869,1199.698,7.642,4.59,6.3,group2,226,303,77
trans_07,trans_07_comp_elev,115234,hor_accel,comp,elev,588,6.966709345,47.869,1199.698,7.642,4.59,6.3,group2,226,246,20
trans_07,trans_07_comp_elev,124652,hor_accel,comp,elev,798,7.821021941,47.869,1199.698,7.642,4.59,6.3,group2,226,247,21
trans_07,trans_07_solo_air,145709,hor_accel,solo,sea level,641,10.10620169,47.869,1199.698,7.642,4.59,6.3,group2,226,287,61
trans_07,trans_07_solo_elev,164438,hor_accel,solo,elev,1370,7.298771167,47.869,1199.698,7.642,4.59,6.3,group2,226,244,18
trans_08,trans_08_comp_air,150428,hor_accel,comp,sea level,181,7.975860119,46.803,1131.214,7.749,5.61,6,group2,226,300,74
trans_08,trans_08_comp_air,155232,hor_accel,comp,sea level,357,6.556105386,46.803,1131.214,7.749,5.61,6,group2,226,299,73
trans_08,trans_08_comp_elev,102513,hor_accel,comp,elev,1064,5.395099176,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_comp_elev,124652,hor_accel,comp,elev,498,5.508370729,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_solo_air,120815,hor_accel,solo,sea level,1266,7.984853249,46.803,1131.214,7.749,5.61,6,group2,226,287,61
trans_08,trans_08_solo_elev,92048,hor_accel,solo,elev,979,6.203727809,46.803,1131.214,7.749,5.61,6,group2,226,245,19
trans_01,trans_01_comp_air,151755,hor_decel,comp,sea level,856,7.274614676,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_comp_air,152503,hor_decel,comp,sea level,504,8.015538774,49.026,1270.923,7.585,4.4,6.05,group1,160,303,143
trans_01,trans_01_comp_elev,120448,hor_decel,comp,elev,234,3.913689009,49.026,1270.923,7.585,4.4,6.05,group1,160,248,88
