bird,trialID,videoID,performance.metric,solo.competition,treatment,no.maneuvers,avg.performance,wing.length,wing.area,aspect.ratio,body.mass,mass.lifted,trial.day.of.year,capture.day.of.year,days.after
gas_11,gas_11_solo_air,102128,pitch_up,solo,air,54,1.01947635,55.445,1620.07,7.593,4.62,5.66,58,51,7
gas_11,gas_11_solo_hel,101822,pitch_up,solo,hel,31,0.954185158,55.445,1620.07,7.593,4.62,5.66,56,51,5
gas_11,gas_11_solo_nit,144922,pitch_up,solo,nit,41,1.040909306,55.445,1620.07,7.593,4.62,5.66,54,51,3
gas_12,gas_12_comp_air,94818,pitch_up,comp,air,36,1.007747307,54.228,1653.012,7.13,4.63,5.66,61,58,3
gas_12,gas_12_comp_hel,111200,pitch_up,comp,hel,45,1.020992803,54.228,1653.012,7.13,4.63,5.66,59,58,1
gas_12,gas_12_comp_nit,125257,pitch_up,comp,nit,43,0.979906551,54.228,1653.012,7.13,4.63,5.66,60,58,2
gas_12,gas_12_solo_air,153221,pitch_up,solo,air,52,0.820666856,54.228,1653.012,7.13,4.63,5.66,60,58,2
gas_12,gas_12_solo_hel,90835,pitch_up,solo,hel,24,0.837705211,54.228,1653.012,7.13,4.63,5.66,59,58,1
gas_12,gas_12_solo_nit,103554,pitch_up,solo,nit,27,0.984184606,54.228,1653.012,7.13,4.63,5.66,60,58,2
gas_13,gas_13_comp_air,152808,pitch_up,comp,air,299,0.989661257,52.549,1518.295,7.278,4.23,6.44,103,79,24
gas_13,gas_13_comp_hel,171657,pitch_up,comp,hel,273,0.943940327,52.549,1518.295,7.278,4.23,6.44,107,79,28
gas_13,gas_13_comp_nit,162119,pitch_up,comp,nit,498,1.024719635,52.549,1518.295,7.278,4.23,6.44,106,79,27
gas_13,gas_13_solo_air,105234,pitch_up,solo,air,640,0.896141326,52.549,1518.295,7.278,4.23,6.44,103,79,24
gas_13,gas_13_solo_hel,111302,pitch_up,solo,hel,367,0.958232795,52.549,1518.295,7.278,4.23,6.44,107,79,28
